Rank,Team,Group,Make_R16,Make_QF,Make_SF,Make_Final,Win_World_Cup
1,Argentina,C,1.0,1.0,1.0,0.6515,0.3939
2,France,D,1.0,1.0,1.0,0.6517,0.3301
3,Croatia,F,1.0,1.0,1.0,0.3485,0.1515
4,Morocco,F,1.0,1.0,1.0,0.3483,0.1245
5,Netherlands,A,1.0,1.0,0.0,0.0,0.0
6,England,B,1.0,1.0,0.0,0.0,0.0
7,Brazil,G,1.0,1.0,0.0,0.0,0.0
8,Portugal,H,1.0,1.0,0.0,0.0,0.0
9,Senegal,A,1.0,0.0,0.0,0.0,0.0
10,United States,B,1.0,0.0,0.0,0.0,0.0
11,Poland,C,1.0,0.0,0.0,0.0,0.0
12,Australia,D,1.0,0.0,0.0,0.0,0.0
13,Spain,E,1.0,0.0,0.0,0.0,0.0
14,Japan,E,1.0,0.0,0.0,0.0,0.0
15,Switzerland,G,1.0,0.0,0.0,0.0,0.0
16,South Korea,H,1.0,0.0,0.0,0.0,0.0
17,Qatar,A,0.0,0.0,0.0,0.0,0.0
18,Ecuador,A,0.0,0.0,0.0,0.0,0.0
19,Iran,B,0.0,0.0,0.0,0.0,0.0
20,Wales,B,0.0,0.0,0.0,0.0,0.0
21,Saudi Arabia,C,0.0,0.0,0.0,0.0,0.0
22,Mexico,C,0.0,0.0,0.0,0.0,0.0
23,Denmark,D,0.0,0.0,0.0,0.0,0.0
24,Tunisia,D,0.0,0.0,0.0,0.0,0.0
25,Costa Rica,E,0.0,0.0,0.0,0.0,0.0
26,Germany,E,0.0,0.0,0.0,0.0,0.0
27,Belgium,F,0.0,0.0,0.0,0.0,0.0
28,Canada,F,0.0,0.0,0.0,0.0,0.0
29,Serbia,G,0.0,0.0,0.0,0.0,0.0
30,Cameroon,G,0.0,0.0,0.0,0.0,0.0
31,Ghana,H,0.0,0.0,0.0,0.0,0.0
32,Uruguay,H,0.0,0.0,0.0,0.0,0.0
